Ken,Sánchez,4350 Minute Dr.,Newport Hills,Washington,98006,20030208,703791.04
Terri,Duffy,7559 Worth Ct.,Renton,Washington,98055,20020224,666525.10
Roberto,Tamburello,2137 Birchwood Dr,Redmond,Washington,98052,20011205,759689.95
Rob,Walters,5678 Lakeview Blvd.,Minneapolis,Minnesota,55402,20011229,703791.04
Gail,Erickson,9435 Breck Court,Bellevue,Washington,98004,20020130,722424.01
Jossef,Goldberg,5670 Bel Air Dr.,Renton,Washington,98055,20020217,722424.01
Dylan,Miller,7048 Laurel,Kenmore,Washington,98028,20030305,685158.07
Diane,Margheim,475 Santa Maria,Everett,Washington,98201,20030123,722424.01
Gigi,Matthew,7808 Brown St.,Bellevue,Washington,98004,20030210,703791.04
Michael,Raheem,1234 Seaside Way,San Francisco,California,94109,20030528,685158.07
Ovidiu,Cracium,5458 Gladstone Drive,Kenmore,Washington,98028,20041229,703791.04
Thierry,D'Hers,1970 Napa Ct.,Bothell,Washington,98011,20020104,685158.07
Janice,Galvin,3397 Rancho View Drive,Redmond,Washington,98052,20050116,685158.07
Michael,Sullivan,6510 Hacienda Drive,Renton,Washington,98055,20050123,722424.01
Sharon,Salavaria,7165 Brock Lane,Renton,Washington,98055,20050211,741056.98
David,Bradley,3768 Door Way,Redmond,Washington,98052,20020113,703791.04
Kevin,Brown,7883 Missing Canyon Court,Everett,Washington,98201,20010219,666525.10
John,Wood,9906 Oak Grove Road,Redmond,Washington,98052,20050303,647892.13
Mary,Dempsey,6307 Greenbelt Way,Bellevue,Washington,98004,20050310,703791.04
Wanida,Benshoof,6951 Harmony Way,Sammamish,Washington,98074,20050131,722424.01
Terry,Eminhizer,8668 Via Neruda,Bellevue,Washington,98004,20030327,741056.98
Sariya,Harnpadoungsataya,1185 Dallas Drive,Everett,Washington,98201,20030106,890120.75
Mary,Gibson,3928 San Francisco,Everett,Washington,98201,20030206,685158.07
Jill,Williams,3238 Laguna Circle,Everett,Washington,98201,20030212,722424.01
James,Hamilton,9652 Los Angeles,Monroe,Washington,98272,20030228,722424.01
Peter,Krebs,3670 All Ways Drive,Bellevue,Washington,98004,20021226,666525.10
Jo,Brown,9693 Mellowood Street,Duvall,Washington,98019,20020323,666525.10
Guy,Gilbert,7726 Driftwood Drive,Monroe,Washington,98272,20000724,703791.04
Mark,McArthur,9863 Ridge Place,Redmond,Washington,98052,20030217,722424.01
Britta,Simon,2046 Las Palmas,Edmonds,Washington,98020,20030223,666525.10
Margie,Shoop,2080 Sycamore Drive,Edmonds,Washington,98020,20030129,666525.10
Rebecca,Laszlo,3197 Thornhill Place,Bellevue,Washington,98004,20030123,685158.07
Annik,Stahl,7842 Ygnacio Valley Road,Seattle,Washington,98104,20030111,666525.10
Suchitra,Mohan,5678 Clear Court,Bellevue,Washington,98004,20030313,666525.10
Brandon,Heidepriem,8000 Crane Court,Redmond,Washington,98052,20030305,759689.95
Jose,Lugo,5125 Cotton Ct.,Seattle,Washington,98104,20030307,647892.13
Chris,Okelberry,8467 Clifford Court,Redmond,Washington,98052,20030401,741056.98
Kim,Abercrombie,9752 Jeanne Circle,Carnation,Washington,98014,20040210,778322.93
Ed,Dudenhoefer,4598 Manila Avenue,Seattle,Washington,98104,20040301,778322.93
JoLynn,Dobney,7126 Ending Ct.,Seattle,Washington,98104,20020119,685158.07
Bryan,Baker,2275 Valley Blvd.,Monroe,Washington,98272,20030215,666525.10
James,Kramer,4734 Sycamore Court,Monroe,Washington,98272,20030121,685158.07
Nancy,Anderson,7820 Bird Drive,Sammamish,Washington,98074,20030127,722424.01
Simon,Rapier,3421 Bouncing Road,Duvall,Washington,98019,20030102,685158.07
Thomas,Michaels,7338 Green St.,Edmonds,Washington,98020,20030323,722424.01
Eugene,Kogan,991 Vista Verde,Duvall,Washington,98019,20030305,666525.10
Andrew,Hill,6629 Polson Circle,Everett,Washington,98201,20030319,647892.13
Ruth,Ellerbrock,2176 Apollo Way,Everett,Washington,98201,20020130,759689.95
Barry,Johnson,3114 Notre Dame Ave.,Snohomish,Washington,98296,20020131,703791.04
Sidney,Higa,9277 Country View Lane,Edmonds,Washington,98020,20020226,647892.13
Jeffrey,Ford,5734 Ashford Court,Monroe,Washington,98272,20020316,647892.13
Doris,Hartwig,5553 Cash Avenue,Kenmore,Washington,98028,20020404,703791.04
Diane,Glimp,9006 Woodside Way,Redmond,Washington,98052,20020422,666525.10
Bonnie,Kearney,4852 Chaparral Court,Snohomish,Washington,98296,20040126,703791.04
Taylor,Maxwell,504 O St.,Edmonds,Washington,98020,20020304,703791.04
Denise,Smith,5669 Ironwood Way,Kenmore,Washington,98028,20030302,666525.10
Frank,Miller,591 Merriewood Drive,Snohomish,Washington,98296,20030320,685158.07
Kendall,Keil,7439 Laguna Niguel,Seattle,Washington,98104,20021230,647892.13
Bob,Hohman,6387 Scenic Avenue,Bothell,Washington,98011,20030118,685158.07
Pete,Male,5375 Clearland Circle,Seattle,Washington,98104,20030205,647892.13
Diane,Tibbott,8192 Seagull Court,Kenmore,Washington,98028,20030212,703791.04
John,Campbell,2639 Anchor Court,Seattle,Washington,98104,20020411,722424.01
Maciej,Dusza,3026 Anchor Drive,Edmonds,Washington,98020,20040223,666525.10
Michael,Zwilling,7511 Cooper Dr.,Edmonds,Washington,98020,20040319,722424.01
Randy,Reeves,3632 Bank Way,Edmonds,Washington,98020,20040319,685158.07
Karan,Khanna,1102 Ravenwood,Seattle,Washington,98104,20040116,685158.07
Jay,Adams,896 Southdale,Monroe,Washington,98272,20030330,666525.10
Charles,Fitzgerald,5263 Etcheverry Dr,Sammamish,Washington,98074,20031228,759689.95
Steve,Masters,1398 Yorba Linda,Seattle,Washington,98104,20030312,703791.04
David,Ortiz,931 Corte De Luna,Seattle,Washington,98104,20030109,666525.10
Michael,Ray,6498 Mining Rd.,Seattle,Washington,98104,20030312,629259.16
